sgg_code,umd_code,sgg_name,umd_name,station_name,line_num,arsno,lat,lon,score,rank
26470,26470101,연제구,거제동,동해선거제해맞이역,"10,1002(심야),111,129-1,131,31,43,44,506,52,77,80",13033,35.18240393,129.0702704,0.3208792768,4
26470,26470101,연제구,거제동,거제교회,"1002(심야),131,80",13024,35.18653994,129.0702718,0.2294477700,4
26260,26260109,동래구,사직동,사직동,"105,57,83-1",6136,35.19920788,129.0702991,0.2327830871,4
26290,26290110,남구,우암동,남부중앙새마을금고,"134,138-1,168,23,26,26(아침),68",7077,35.12534609,129.0703375,0.2709995999,4
26470,26470101,연제구,거제동,거제교회,"1002(심야),131,80",13025,35.18597459,129.0703542,0.2998889413,4
26290,26290109,남구,문현동,문현교차로,"1001,1001(심야),1003,1003(심야),101,22,27,40,41,42",7047,35.13713288,129.0703986,0.3523525683,4
26260,26260108,동래구,온천동,온샘초등학교,80,6061,35.20965611,129.0704395,0.3297572423,4
26200,26200121,영도구,동삼동,동삼시장,"101,113,190,30,30(심야),8,88(A)",4086,35.07859995,129.0704996,0.3140927022,4
26200,26200121,영도구,동삼동,벽산비치타운,"508,508(심야),6,7,70,71",4103,35.07527549,129.0705305,0.3875045718,4
26200,26200121,영도구,동삼동,상리종합사회복지회관,88-1A,4077,35.08495726,129.0705897,0.3084466280,4
26260,26260109,동래구,사직동,법원어귀교차로,57,6134,35.19630127,129.070615,0.2516592241,4
26470,26470101,연제구,거제동,남문초.연제우체국,"105,50,54",13135,35.19391494,129.0707073,0.2839451381,4
26200,26200121,영도구,동삼동,일동미라주아파트,"101,113,190,30,30(심야),8,88(A)",4084,35.0818786,129.0707194,0.5498376542,3
26200,26200121,영도구,동삼동,일동미라주아파트,"101,113,190,30,30(심야),8,88(A)",4085,35.08140787,129.0708436,0.3400756234,4
26470,26470101,연제구,거제동,법원검찰청,"111,44",13018,35.19019015,129.0708907,0.0332982553,5
26200,26200121,영도구,동삼동,상리종합사회복지회관,88-1A,4076,35.08548047,129.0709452,0.2063739453,4
26290,26290109,남구,문현동,문현3동행정복지센터,"10,101,138",7040,35.13898826,129.0709752,0.3165116631,4
26470,26470101,연제구,거제동,남문초.연제우체국,"105,54",13140,35.19375579,129.0710052,0.4562087959,3
26200,26200121,영도구,동삼동,벽산비치타운,"508,508(심야),6,7,70,71",4102,35.07513499,129.0710073,0.0618604516,5
26290,26290109,남구,문현동,한양아파트,"101,138",7037,35.14343523,129.0710324,0.3316985846,4
26200,26200120,영도구,청학동,해동종합,17,4177,35.08968518,129.0710744,0.1760738337,5
26230,26230102,부산진구,전포동,화신아파트(종점),82,5311,35.15914884,129.0710913,0.4215717987,3
26230,26230102,부산진구,전포동,파티마의원,82,5323,35.15648131,129.0711163,0.2965915420,4
26230,26230102,부산진구,전포동,전포고개,82,5271,35.15163678,129.0711364,0.1533218194,5
26230,26230102,부산진구,전포동,파티마의원,82,5322,35.15690581,129.0711571,0.3186727619,4
26260,26260108,동래구,온천동,미남교차로.미남역,"110,121,148,148-1,200,307",6087,35.20747244,129.071166,0.2160141522,4
26290,26290109,남구,문현동,문현3동행정복지센터,"10,101,138",7039,35.13885306,129.0712406,0.3165116631,4
26200,26200121,영도구,동삼동,조양아파트,"1006,113,508,508(심야),6,7,70,71",4119,35.07230327,129.0712548,0.3364814317,4
26290,26290109,남구,문현동,한양아파트,"101,138",7184,35.14336039,129.0713107,0.3316985846,4
26260,26260108,동래구,온천동,광혜병원.미남역,110,6088,35.20702715,129.0713982,0.1870809065,5
26290,26290109,남구,문현동,문현교차로,"10,101,138",7048,35.13708849,129.0714578,0.1475020783,5
26470,26470101,연제구,거제동,법원검찰청,"111,44",13016,35.18950928,129.0714801,0.3878304909,4
26290,26290109,남구,문현동,문현교차로,"108,22,24,27,41,83,83-1",7050,35.13662216,129.071521,0.1991253390,5
26230,26230102,부산진구,전포동,전포고개,82,5272,35.15185939,129.0715241,0.1533218194,5
26200,26200121,영도구,동삼동,동삼주공아파트입구,"101,113,186,190,30,30(심야),8,88(A),88-1A",4075,35.08688981,129.0715404,0.1980256603,5
26230,26230102,부산진구,전포동,전포아파트,82,5313,35.15595992,129.0715635,0.3290916231,4
26230,26230102,부산진구,전포동,전포아파트,82,5275,35.15522761,129.0715829,0.3684004216,4
26230,26230102,부산진구,전포동,전포삼거리,82,5273,35.15338153,129.0717045,0.2458598221,4
26290,26290110,남구,우암동,남부중앙새마을금고,"134,138-1,168,23,26,26(아침),68",7081,35.12501809,129.0717318,0.2170383483,4
26200,26200121,영도구,동삼동,중리초등학교,"508,508(심야),6,7,70,71",4101,35.07334584,129.0718142,0.1705466336,5
26260,26260108,동래구,온천동,우장춘기념관,80,6054,35.21247892,129.0719199,0.2100742830,4
26230,26230102,부산진구,전포동,전포삼거리,82,5274,35.1536011,129.0719262,0.2458598221,4
26290,26290109,남구,문현동,문현교차로,"1001,1001(심야),1003,1003(심야),40,42",7051,35.13653845,129.0719419,0.0912043712,5
26470,26470101,연제구,거제동,경남아파트,"10,111,129-1,31,43,44,506,52,77",13026,35.1867945,129.0719909,0.2857683832,4
26200,26200121,영도구,동삼동,동삼국민은행앞교차로,"101,113,190,30,30(심야),8,88(A)",4088,35.07625361,129.0720149,0.3126957247,4
26260,26260109,동래구,사직동,대선주조,"10,189",6135,35.19661496,129.0720732,0.2388407460,4
26200,26200121,영도구,동삼동,중리초등학교,"508,508(심야),6,7,70,71",4100,35.07345069,129.0720783,0.4865193774,3
26200,26200121,영도구,동삼동,송강중공업,17,4176,35.08867969,129.0721718,0.1970348363,5
26470,26470101,연제구,거제동,경남아파트,"10,111,44,77",13028,35.18622136,129.0722243,0.2495579865,4
26200,26200121,영도구,동삼동,동삼삼거리,"101,113,190,30,30(심야),8,88(A)",4082,35.0846578,129.0722925,0.1000913556,5
26470,26470101,연제구,거제동,동해선거제역,"105,54",13015,35.18911381,129.0722972,0.0712546603,5
26290,26290109,남구,문현동,문현초등학교,"101,138",7033,35.14570496,129.0723773,0.0513437607,5
26230,26230101,부산진구,양정동,양정역4번출구,"141(심야),20,5-1,57,62,63",5014,35.17324109,129.0723865,0.4324144686,3
26290,26290109,남구,문현동,문현초등학교,"101,138",7185,35.1454576,129.0724182,0.2274175945,4
26200,26200121,영도구,동삼동,동삼국민은행앞교차로,"101,190,30,30(심야),70,8,88(A)",4089,35.07575705,129.0724517,0.2113477631,4
