sgg_code,sgg_name,umd_code,umd_name,geometry,lat,lon,score,rank
26410,금정구,26410109,부곡동,"POLYGON ((129.08147114756883 35.23738812274079, 129.08148864855366 35.238289486955075, 129.08258729451848 35.238275123292404, 129.08256978138826 35.23737375955476, 129.08147114756883 35.23738812274079))",35.21788643987422,129.09043120845323,0.91875,1
26410,금정구,26410109,부곡동,"POLYGON ((129.11303623046302 35.27754282858796, 129.113054107185 35.278444172922704, 129.1141532782328 35.2784295083094, 129.11413538934207 35.27752816446103, 129.11303623046302 35.27754282858796))",35.22591190272373,129.09718036419642,0.4587159863945578,3
26410,금정구,26410108,장전동,"POLYGON ((129.0879665718494 35.28869360442553, 129.08798417805872 35.289594958148705, 129.0890835133005 35.28958051737021, 129.08906589491517 35.28867916412593, 129.0879665718494 35.28869360442553))",35.237831623966976,129.0820292179912,0.63125,2
26410,금정구,26410105,선동,"POLYGON ((129.05321584734796 35.253982822248275, 129.05323304627916 35.25488419618615, 129.05433193099645 35.25487008325361, 129.05431471990926 35.253968709783955, 129.05321584734796 35.253982822248275))",35.27798616940271,129.11359475128933,0.0,5
26410,금정구,26410102,노포동,"POLYGON ((129.0955238324081 35.22548295706892, 129.09554148109163 35.22638431690978, 129.09663995906388 35.2263698299259, 129.09662229824238 35.225468470565836, 129.0955238324081 35.22548295706892))",35.28913706185039,129.0885250395148,0.1277210884353741,5
26410,금정구,26410113,금성동,"POLYGON ((129.09004182518368 35.28235524050201, 129.09005945026675 35.283256594262845, 129.09115869872343 35.283242136869, 129.09114106146825 35.28234078358762, 129.09004182518368 35.28235524050201))",35.254426453699736,129.05377388611737,0.0017006802721088,5
26410,금정구,26410109,부곡동,"POLYGON ((129.08384370220406 35.2463730126138, 129.08386123526205 35.24727437445338, 129.08496000115434 35.24725998608265, 129.08494245594562 35.246358624720486, 129.08384370220406 35.2463730126138))",35.225926394448464,129.09608189268522,0.54953231292517,3
26410,금정구,26410102,노포동,"POLYGON ((129.09453119680956 35.23090559340488, 129.09454883805373 35.23180695287309, 129.0956473896488 35.23179247296886, 129.0956297362634 35.23089111398119, 129.09453119680956 35.23090559340488))",35.28279868963796,129.09060025889434,0.1533163265306122,5
26410,금정구,26410107,구서동,"POLYGON ((129.0879489664217 35.28779225056012, 129.0879665718494 35.28869360442553, 129.08906589491517 35.28867916412593, 129.089048277312 35.28777781073939, 129.0879489664217 35.28779225056012))",35.246816500299076,129.08440184862536,0.99375,1
26410,금정구,26410109,부곡동,"POLYGON ((129.09555913055874 35.22728567660845, 129.09557678080944 35.22818703616494, 129.0966752830592 35.22817254821942, 129.0966576206695 35.22727118914376, 129.09555913055874 35.22728567660845))",35.23134903413802,129.09508929017758,1.0,1
26410,금정구,26410102,노포동,"POLYGON ((129.07929135429353 35.238318184378585, 129.07930883176337 35.239219549403096, 129.08040749142768 35.239205205199006, 129.08039000181182 35.23830384065048, 129.07929135429353 35.238318184378585))",35.28823570829551,129.08850742760842,0.010204081632653,5
26410,금정구,26410109,부곡동,"POLYGON ((129.10793255625572 35.297445595361225, 129.10795038954302 35.298346938989454, 129.1090498324058 35.29833231361757, 129.1090319869377 35.29743097047428, 129.10793255625572 35.297445595361225))",35.227729113365044,129.0961172037579,0.2826530612244898,4
26410,금정구,26410108,장전동,"POLYGON ((129.08494245594562 35.246358624720486, 129.08496000115434 35.24725998608265, 129.08605876626766 35.2472455877414, 129.08604120890826 35.24634422685697, 129.08494245594562 35.246358624720486))",35.238761695739036,129.079849419808,0.0391156462585034,5
26410,금정구,26410101,두구동,"POLYGON ((129.08906589491517 35.28867916412593, 129.0890835133005 35.28958051737021, 129.09018284776008 35.28956606660573, 129.09016521719877 35.28866471384065, 129.08906589491517 35.28867916412593))",35.29788895544368,129.10849119126925,0.0153061224489795,5
26410,금정구,26410107,구서동,"POLYGON ((129.1001832800087 35.294843647993204, 129.10020102566602 35.29574499543391, 129.1013004375182 35.29573044143277, 129.1012826796815 35.29482909447465, 129.1001832800087 35.294843647993204))",35.246802107181864,129.0855006080528,0.5314625850340136,3
26410,금정구,26410102,노포동,"POLYGON ((129.05757684019358 35.25212356799864, 129.0575940862171 35.25302494034539, 129.05869294356344 35.25301078845688, 129.05867568538508 35.25210941657966, 129.05757684019358 35.25212356799864))",35.28912261631842,129.08962436827747,0.0051020408163265,5
26410,금정구,26410102,노포동,"POLYGON ((129.1153675704302 35.22882607948511, 129.11538544076492 35.22972743005149, 129.11648395309578 35.22971276179615, 129.11646607062156 35.228811411716556, 129.1153675704302 35.22882607948511))",35.295287045666605,129.10074185570235,0.0034013605442176,5
26410,금정구,26410113,금성동,"POLYGON ((129.08985565450243 35.21654160993226, 129.0898732346889 35.21744297359344, 129.09097159521642 35.21742854121422, 129.09095400289723 35.21652717803207, 129.08985565450243 35.21654160993226))",35.25256717917683,129.05813488882393,0.0879676870748299,5
26410,금정구,26410112,회동동,"POLYGON ((129.11426906944547 35.2288407372904, 129.11428692764068 35.22974208834324, 129.11538544076492 35.22972743005149, 129.1153675704302 35.22882607948511, 129.11426906944547 35.2288407372904))",35.22926942159328,129.11592575871163,0.2855442176870748,4
26410,금정구,26410109,부곡동,"POLYGON ((129.08800178504976 35.29049631172963, 129.08801939282247 35.29139766516831, 129.08911875241782 35.29138322343203, 129.08910113246807 35.29048187047225, 129.08800178504976 35.29049631172963))",35.21698507652357,129.09041362180994,0.4596088435374149,3
26410,금정구,26410112,회동동,"POLYGON ((129.06809169992968 35.28444500868038, 129.06810908310612 35.28534637167709, 129.06920837145756 35.285332113014974, 129.06919097610722 35.28443075049114, 129.06809169992968 35.28444500868038))",35.22928408462351,129.11482725205386,0.0153061224489795,5
26410,금정구,26410102,노포동,"POLYGON ((129.09467234869527 35.23811646516907, 129.09468999620623 35.23901782349968, 129.09578864495055 35.23900333975082, 129.09577098529402 35.238101981900826, 129.09467234869527 35.23811646516907))",35.2909397685334,129.08856026567338,0.0,5
26410,금정구,26410103,청룡동,"POLYGON ((129.08897781472035 35.28417239577081, 129.08899542919517 35.285073749726315, 129.09009470278036 35.285059301357805, 129.09007707613227 35.284157947881454, 129.08897781472035 35.28417239577081))",35.28488856179857,129.06865003263422,0.1975340136054421,5
26410,금정구,26410109,부곡동,"POLYGON ((129.09307470176861 35.26879153791503, 129.0930923516103 35.26969289237044, 129.0941914151924 35.269678412231634, 129.0941737531868 35.26877705825653, 129.09307470176861 35.26879153791503))",35.238559903411335,129.09523049377026,0.0051020408163265,5
26410,금정구,26410102,노포동,"POLYGON ((129.10688179242126 35.24426606922912, 129.106899579058 35.24516742125848, 129.10799830417935 35.24515282448042, 129.10798050539373 35.244251472935375, 129.10688179242126 35.24426606922912))",35.284615849516754,129.08953625569086,0.0426020408163265,5
26410,금정구,26410104,남산동,"POLYGON ((129.11332235327455 35.29196432084762, 129.11334024269942 35.29286566290278, 129.11443960851997 35.29285099050612, 129.11442170691774 35.291949648937496, 129.11332235327455 35.29196432084762))",35.26923497602559,129.0936330554233,1.0,1
26410,금정구,26410106,오륜동,"POLYGON ((129.08380863842328 35.24457028850829, 129.0838261699245 35.245471650632105, 129.08492491151586 35.24545726321618, 129.08490736786496 35.24455590156973, 129.08380863842328 35.24457028850829))",35.24470944780727,129.10744004524668,0.0375,5
26410,금정구,26410101,두구동,"POLYGON ((129.08258729451848 35.238275123292404, 129.08260480842625 35.23917648688796, 129.08370346575947 35.239162112781045, 129.08368593970576 35.238260749662466, 129.08258729451848 35.238275123292404))",35.29240765663138,129.11388097783652,0.0,5
26410,금정구,26410107,구서동,"POLYGON ((129.07123278365927 35.27628994357232, 129.07125019639835 35.27719130642804, 129.07234937288644 35.27717702207617, 129.0723319479784 35.27627565969423, 129.07123278365927 35.27628994357232))",35.24501377681302,129.084366771916,1.0,1
26410,금정구,26410108,장전동,"POLYGON ((129.089048277312 35.28777781073939, 129.08906589491517 35.28867916412593, 129.09016521719877 35.28866471384065, 129.09014758742018 35.28776336093333, 129.089048277312 35.28777781073939))",35.238718618987214,129.0831453770863,0.7638605442176871,2
26410,금정구,26410103,청룡동,"POLYGON ((129.07343111152394 35.276261365834756, 129.0734485486009 35.277162727742585, 129.0745477235412 35.277148423427334, 129.07453027429537 35.276247061993935, 129.07343111152394 35.276261365834756))",35.276733483775104,129.0717910752146,0.0034013605442176,5
26410,금정구,26410102,노포동,"POLYGON ((129.0838261699245 35.245471650632105, 129.08384370220406 35.2463730126138, 129.08494245594562 35.246358624720486, 129.08492491151586 35.24545726321618, 129.0838261699245 35.245471650632105))",35.28822126324258,129.08960674419535,0.0034013605442176,5
26410,금정구,26410103,청룡동,"POLYGON ((129.0930570527105 35.26789018331736, 129.09307470176861 35.26879153791503, 129.0941737531868 35.26877705825653, 129.09415609196526 35.26787570413917, 129.0930570527105 35.26789018331736))",35.27670489558207,129.07398941447437,0.0051020408163265,5
26410,금정구,26410107,구서동,"POLYGON ((129.1145112228769 35.29645635535556, 129.1145291284533 35.29735769621165, 129.11562855437376 35.29734301139369, 129.11561063661733 35.29644167102453, 129.1145112228769 35.29645635535556))",35.24591513862711,129.08438430988136,0.5281462585034014,3
26410,금정구,26410104,남산동,"POLYGON ((129.09197564956685 35.26880600759523, 129.09199328724458 35.26970736253062, 129.0930923516103 35.26969289237044, 129.09307470176861 35.26879153791503, 129.09197564956685 35.26880600759523))",35.268333621739174,129.09361539989158,0.2582908163265306,4
26410,금정구,26410101,두구동,"POLYGON ((129.0944606396644 35.227300154110125, 129.094478277776 35.228201514147095, 129.09557678080944 35.22818703616494, 129.09555913055874 35.22728567660845, 129.0944606396644 35.227300154110125))",35.29689968432937,129.11506988556394,0.0880102040816326,5
26410,금정구,26410104,남산동,"POLYGON ((129.09442536579027 35.225497433609654, 129.09444300233585 35.226398793930976, 129.09554148109163 35.22638431690978, 129.0955238324081 35.22548295706892, 129.09442536579027 35.225497433609654))",35.269249450935014,129.09253399753138,0.4853316326530612,3
26410,금정구,26410109,부곡동,"POLYGON ((129.0977207632926 35.22545397410043, 129.09773843625203 35.22635533297936, 129.09883691265554 35.226340826070185, 129.09881922755824 35.22543946767271, 129.0977207632926 35.22545397410043))",35.227743596088565,129.09501870718586,0.7742772108843538,2
26410,금정구,26410109,부곡동,"POLYGON ((129.05651246273902 35.253940454934934, 129.0565296981381 35.25484182746713, 129.05762858056136 35.25482768461327, 129.05761133300638 35.25392631255028, 129.05651246273902 35.253940454934934))",35.22594087621068,129.0949834203902,0.7964710884353742,2
26410,금정구,26410109,부곡동,"POLYGON ((129.05539636922794 35.2530532142032, 129.05541359170647 35.25395458734617, 129.05651246273902 35.253940454934934, 129.0564952281051 35.25303908226084, 129.05539636922794 35.2530532142032))",35.22589740103652,129.09827883492326,0.0017006802721088,5
26410,금정구,26410113,금성동,"POLYGON ((129.11562855437376 35.29734301139369, 129.11564647292568 35.29824435162035, 129.11674591023117 35.29822965632672, 129.11672797949873 35.297328316587326, 129.11562855437376 35.29734301139369))",35.25438407072315,129.05707051859537,0.0017006802721088,5
26410,금정구,26410113,금성동,"POLYGON ((129.0827274275548 35.24548602807816, 129.08274494768415 35.24638739053692, 129.08384370220406 35.2463730126138, 129.0838261699245 35.245471650632105, 129.0827274275548 35.24548602807816))",35.25349683551799,129.05595441292877,0.0034013605442176,5
26410,금정구,26410101,두구동,"POLYGON ((129.094478277776 35.228201514147095, 129.09449591667072 35.22910287404187, 129.09559443184375 35.22908839557922, 129.09557678080944 35.22818703616494, 129.094478277776 35.228201514147095))",35.297786334815065,129.1161872292409,0.0783588435374149,5
26410,금정구,26410107,구서동,"POLYGON ((129.1090498324058 35.29833231361757, 129.1090676786661 35.29923365661839, 129.1101671329179 35.29921902077232, 129.11014927447627 35.29831767825678, 129.1090498324058 35.29833231361757))",35.24592952129671,129.0832855618257,1.0,1
26410,금정구,26410109,부곡동,"POLYGON ((129.09444300233585 35.226398793930976, 129.0944606396644 35.227300154110125, 129.09555913055874 35.22728567660845, 129.09554148109163 35.22638431690978, 129.09444300233585 35.226398793930976))",35.22864495581421,129.0950363517587,0.2985969387755102,4
26410,금정구,26410101,두구동,"POLYGON ((129.09663995906388 35.2263698299259, 129.0966576206695 35.22727118914376, 129.09775610999608 35.22725669171608, 129.09773843625203 35.22635533297936, 129.09663995906388 35.2263698299259))",35.29877566814935,129.10960847960018,0.0,5
26410,금정구,26410109,부곡동,"POLYGON ((129.09554148109163 35.22638431690978, 129.09555913055874 35.22728567660845, 129.0966576206695 35.22727118914376, 129.09663995906388 35.2263698299259, 129.09554148109163 35.22638431690978))",35.22684223622072,129.09500106339638,0.8542942176870748,1
26410,금정구,26410109,부곡동,"POLYGON ((129.093908917176 35.25525673155972, 129.09392656742367 35.256158087668545, 129.09502544781972 35.25614360475964, 129.09500778541627 35.2552422491313, 129.093908917176 35.25525673155972))",35.22681326177214,129.09719803147902,0.144812925170068,5
26410,금정구,26410109,부곡동,"POLYGON ((129.08133116765822 35.23017720391175, 129.08134866242824 35.231078569262635, 129.08244721124487 35.23106420941277, 129.08242970433372 35.23016284453844, 129.08133116765822 35.23017720391175))",35.226827753977844,129.09609954782962,0.2668367346938776,4
26410,금정구,26410107,구서동,"POLYGON ((129.08256978138826 35.23737375955476, 129.08258729451848 35.238275123292404, 129.08368593970576 35.238260749662466, 129.08366841443015 35.237359386401785, 129.08256978138826 35.23737375955476))",35.255700169111556,129.09446717944266,0.1158588435374149,5
26410,금정구,26410108,장전동,"POLYGON ((129.09451355634855 35.23000423379447, 129.09453119680956 35.23090559340488, 129.0956297362634 35.23089111398119, 129.09561208366173 35.22998975485129, 129.09451355634855 35.23000423379447))",35.230620707612395,129.0818891864001,0.2752125850340136,4
26410,금정구,26410108,장전동,"POLYGON ((129.08039000181182 35.23830384065048, 129.08040749142768 35.239205205199006, 129.0815061503155 35.23919085102728, 129.08148864855366 35.238289486955075, 129.08039000181182 35.23830384065048))",35.23781725555908,129.0831278574945,0.6626700680272108,2
26410,금정구,26410109,부곡동,"POLYGON ((129.11460075870878 35.30096305821088, 129.11461866826028 35.301864398354404, 129.1157181550889 35.301849711101696, 129.11570023335472 35.30094837144514, 129.11460075870878 35.30096305821088))",35.23044767483894,129.09507164325453,0.3479166666666666,4
26410,금정구,26410108,장전동,"POLYGON ((129.09559443184375 35.22908839557922, 129.09561208366173 35.22998975485129, 129.0967106101912 35.22997526594411, 129.0966929462331 35.22907390715288, 129.09559443184375 35.22908839557922))",35.23874734678921,129.08094807301103,1.0,1
26410,금정구,26410101,두구동,"POLYGON ((129.09282768624396 35.25617256060382, 129.09284532511884 35.257073917050555, 129.09394421845494 35.25705944363512, 129.09392656742367 35.256158087668545, 129.09282768624396 35.25617256060382))",35.30140638561117,129.11515945383675,0.1005102040816326,5
26410,금정구,26410109,부곡동,"POLYGON ((129.08370975364377 35.29596210686828, 129.0837273173858 35.29686346136603, 129.08482675317947 35.2968490567109, 129.084809177257 35.29594770269081, 129.08370975364377 35.29596210686828))",35.22953183171284,129.09615251796617,0.8729166666666667,1
